v_products_options_values_id,v_language_id,v_products_options_values_name
207188,1,"27.5""L x 20.5""W x 20.5""H"
207189,1,"27.9 Fl Oz"
207190,1,"27.75""L x 29.75""W x 30.25""H"
207191,1,"28 Count"
207192,1,"28 Lb"
207193,1,"28 Oz"
207194,1,"28 Qt"
207195,1,"28 in"
207196,1,"28""L x 16""W x 16""H"
207197,1,"28""L x 18""W"
207198,1,"28""L x 20""W x 4""H"
207199,1,"28""L x 20""W x 19.2""H"
207200,1,"28""L x 20.5""W x 21.5""H"
207201,1,"28""L x 21""W x 7""H"
207202,1,"28""L x 22""W x 5""H"
207203,1,"28""L x 28""W"
207204,1,"28""L x 35""W x 7""H"
207205,1,"28""W x 20.9""H"
207206,1,"28.3 Oz"
207207,1,"28.3""L x 13.6""W x 14.5""H"
207208,1,"28.3""W x 27.6"" H"
207209,1,"28.5 Lb"
207210,1,"28.5""L x 49""W"
207211,1,"28.7""L x 25.1""W x 10.5""H"
207212,1,"28.25""L x 28""W"
207213,1,"28.75 Oz"
207214,1,"28.75""L x 18""W"
207215,1,"28.75""L x 18""W x 1.5""H"
207216,1,"29 Count"
207217,1,"29 Lb"
207218,1,"29""L x 18""W"
207219,1,"29""L x 18.25""W x 1""H"
207220,1,"29""L x 21""W"
207221,1,"29""L x 22""W x 21""H"
207222,1,"29""L x 29""W"
207223,1,"29""L x 29""W x 17""H"
207224,1,"29""W x 41""H"
207225,1,"29.1 Lb"
207226,1,"29.1""L x 20.6""W x 20.8""H"
207227,1,"29.4""L x 19.7""W x 7.9""H"
207228,1,"29.4""L x 20.4""W"
207229,1,"29.5""L x 20.625""W"
207230,1,"29.5""L x 21.1""W x 25.2""H"
207231,1,"29.5""L x 21.7""W x 4""H"
207232,1,"29.5""L x 22""W x 24""H"
207233,1,"29.6""L x 19.7""W x 10.3""H"
207234,1,"29.14""L x 36.5""W x 25.9""H"
207235,1,"29.75""L x 37.4375""W"
207236,1,30
207237,1,"30 Count"
207238,1,"30 Fl Oz"
207239,1,"30 Ft"
207240,1,"30 Lb"
207241,1,"30 Oz"
207242,1,"30 in"
207243,1,"30""L x 2""W"
207244,1,"30""L x 13""W x 22""H"
207245,1,"30""L x 18""W x 32""H"
207246,1,"30""L x 19""W"
207247,1,"30""L x 19""W x 21""H"
207248,1,"30""L x 19""W x 22""H"
207249,1,"30""L x 20""W"
207250,1,"30""L x 20""W x 2.5""H"
207251,1,"30""L x 20""W x 3""H"
207252,1,"30""L x 20""W x 5""H"
207253,1,"30""L x 20""W x 6.5""H"
207254,1,"30""L x 20""W x 8""H"
207255,1,"30""L x 20""W x 19""H"
207256,1,"30""L x 21""W"
207257,1,"30""L x 21""W x 21""H"
207258,1,"30""L x 21""W x 24""H"
207259,1,"30""L x 24""W x 8""H"
207260,1,"30""L x 24""W x 9""H"
207261,1,"30""L x 24""W x 24""H"
207262,1,"30""L x 25""W x 9""H"
207263,1,"30""L x 27""W"
207264,1,"30""L x 30""W"
207265,1,"30""L x 30""W x 4""H"
207266,1,"30""L x 40""W"
207267,1,"30""L x 40""W x 6.5""H"
207268,1,"30""L x 40""W x 8""H"
207269,1,"30""L x 42""W"
207270,1,"30""L x 42""W x .25""H"
207271,1,"30""L x 42""W x 4""H"
207272,1,"30""L x 42""W x 7""H"
207273,1,"30""L x 42""W x 28""H"
207274,1,"30""W x 26""H"
207275,1,"30""W x 26.5""H"
207276,1,"30'L x 0.625""W"
207277,1,"30'L x 36""W"
207278,1,"30.4 Fl Oz"
207279,1,"30.5 Lb"
207280,1,"30.5""L x 20""W x 23""H"
207281,1,"30.6 Lb"
207282,1,"30.25""L x 34.5""W x 32.25""H"
207283,1,"30.375""L x 29.625""W"
207284,1,"31 Fl Oz"
207285,1,"31 Lb"
207286,1,"31""L x 19""W x 21""H"
207287,1,"31""L x 20""W x 21.4""H"
207288,1,"31""L x 20""W x 23""H"
207289,1,"31""L x 21""W"
207290,1,"31""L x 21""W x 24""H"
207291,1,"31""L x 23""W x 2.5""H"
207292,1,"31""L x 24""W"
207293,1,"31""L x 27""W x 12""H"
207294,1,"31-60 lbs"
207295,1,"31.1 Lb"
207296,1,"31.5""L x 23""W"
207297,1,"31.5""L x 23.6""W x 8.7""H"
207298,1,"31.5""L x 25.5""W x 27.5""H"
207299,1,"31.5""L x 37""W x 33.25""H"
207300,1,"31.9""L x 22.8""W x 22.8""H"
207301,1,"31.35""L x 19.25""W x 21.5""H"
207302,1,"32 Count"
207303,1,"32 Fl Oz"
207304,1,"32 Lb"
207305,1,"32 Oz"
207306,1,"32 Qt"
207307,1,"32""L x 22""W x 0.5""H"
207308,1,"32""L x 22.5""W x 24""H"
207309,1,"32""L x 23""W x 7""H"
207310,1,"32""L x 26""W x 24""H"
207311,1,"32""L x 26""W x 28""H"
207312,1,"32""L x 28.5""W"
207313,1,"32""L x 32""W"
207314,1,"32""L x 32""W x 31""H"
